adress,Latitude,Longitude
"Кропивницький,вул. 40-річчя Перемоги, 7",48.491038,32.2706171
"Кропивницький,вул. 40-річчя Перемоги, 7",48.491038,32.2706171
"Кропивницький,вул. 40-річчя Перемоги, 70/2",48.483771,32.2694781
"Кропивницький,вул. 40-річчя Перемоги, 87",48.4843931,32.270374
"Кропивницький,вул. 40-річчя Перемоги, 95",48.48387779999999,32.2704561
"Кропивницький,вул. 40-річчя Перемоги, 95-89",48.483863,32.27047
"Кропивницький,вул. 40-річчя Перемоги, 97",48.4835611,32.270356
"Кропивницький,вул. 5-а Лінія сел. Гірниче",48.4715772,32.2788364
"Кропивницький,вул. 50 років Радянської Армії (ЗОШ № 12)",48.50793300000001,32.262317
"Кропивницький,вул. 50 років Радянської Армії, 12 (ЗОШ № 12)",48.50793300000001,32.262317
"Кропивницький,вул. 8-го Березня, 6",48.52537239999999,32.2755374
"Кропивницький,вул. Авіаційна (біля парку ім. Крючкова)",48.50793300000001,32.262317
"Кропивницький,вул. Авіаційна, 64",48.5304291,32.2642256
"Кропивницький,вул. Автолюбителів, 5",48.487799,32.226532
"Кропивницький,вул. Аджамська, 29",48.5132747,32.2883583
"Кропивницький,вул. Аерофлотська, 15",48.52051910000001,32.2117845
"Кропивницький,вул. Аерофлотська, 5",48.5215149,32.2159854
"Кропивницький,вул. Академіка Корольова, 11",48.5055913,32.2337059
"Кропивницький,вул. Академіка Корольова, 11-а",48.5068466,32.2314702
"Кропивницький,вул. Академіка Корольова, 19",48.5063706,32.2312156
"Кропивницький,вул. Академіка Корольова, 21",48.5064777,32.23059480000001
"Кропивницький,вул. Академіка Корольова, 27 ЗОШ № 9",48.50668140000001,32.2277193
"Кропивницький,вул. Академіка Корольова, 28 (підїзд 1)",48.5068466,32.2314702
"Кропивницький,вул. Академіка Корольова, 29 ДНЗ № 47",48.507392,32.224923
"Кропивницький,вул. Академіка Корольова, 3",48.5032615,32.235588
"Кропивницький,вул. Академіка Корольова, 30",48.5071399,32.2309823
"Кропивницький,вул. Академіка Корольова, 32/4",48.5068964,32.2310803
"Кропивницький,вул. Академіка Корольова, 34/19",48.506377,32.231229
"Кропивницький,вул. Академіка Корольова, 36",48.5078667,32.2261553
"Кропивницький,вул. Академіка Корольова, 4",48.5034532,32.236853
"Кропивницький,вул. Академіка Корольова, 7",48.50462419999999,32.234293
"Кропивницький,вул. Академіка Корольова, 9",48.5047751,32.2334633
"Кропивницький,вул. Академіка Тамма, 10",48.499674,32.2368108
"Кропивницький,вул. Академіка Тамма, 21",48.499674,32.2368108
"Кропивницький,вул. Академіка Тамма, 3/163",48.499674,32.2368108
"Кропивницький,вул. Академіка Тамма, 5",48.499674,32.2368108
"Кропивницький,вул. Академіка Тамма, 9",48.499674,32.2368108
"Кропивницький,вул. Академіка Тамма, від вул. Курганної до вул. Волкова",48.4984362,32.233952
"Кропивницький,вул. Аксьнкіної, 61/15",48.4922882,32.2490257
"Кропивницький,вул. Аксьонкіної, 61/15",48.4922882,32.2490257
"Кропивницький,вул. Андріївська (вздовж вулиці)",48.50793300000001,32.262317
"Кропивницький,вул. Андріївська, 10",48.51129270000001,32.2506021
"Кропивницький,вул. Андріївська, 12",48.5111512,32.2504979
"Кропивницький,вул. Андріївська, 12, корп. 2",48.5088284,32.2464471
"Кропивницький,вул. Андріївська, 17/11",48.5097816,32.2495892
"Кропивницький,вул. Андріївська, 31",48.5087002,32.2477603
"Кропивницький,вул. Андріївська, 59",48.5058023,32.2450601
"Кропивницький,вул. Андріївська, 60",48.5059832,32.2447603
"Кропивницький,вул. Андріївська, 62",48.5056407,32.2443251
"Кропивницький,вул. Андріївська, 62",48.5056407,32.2443251
"Кропивницький,вул. Андріївська, 66",48.5047375,32.2429203
"Кропивницький,вул. Андріївська, 75",48.5037052,32.24299999999999
"Кропивницький,вул. Андріївська, 87",48.5025308,32.2418856
"Кропивницький,вул. Андріївська, 89",48.5021411,32.2416361
"Кропивницький,вул. Андріївська, 9",48.5108288,32.2506935
"Кропивницький,вул. Андріївська, навпроти  № 80",48.50793300000001,32.262317
"Кропивницький,вул. Андрія Матвієнка (Башкирська)",48.5176329,32.2804838
"Кропивницький,вул. Андрія Матвієнка (Башкирська) ЗОШ № 26",48.5152813,32.2811582
"Кропивницький,вул. Арсенія Тарковського (біля церкви)",48.509909,32.272133
"Кропивницький,вул. Арсенія Тарковського, 1-а",48.509909,32.272133
"Кропивницький,вул. Арсенія Тарковського, 11",48.512578,32.2749164
"Кропивницький,вул. Арсенія Тарковського, 12",48.5140439,32.2761757
"Кропивницький,вул. Арсенія Тарковського, 13",48.5124207,32.2747778
