act_number,tree_andress,tree_cut_requester,tree_characteristics,number,date,cutting_act
,,,черешня діам. 30-35 см,1,,
,,,черемха діам. 25-30 см,1,,
,,,клен діам. 50-55 см,1,,
,,,абрикос діам. 35-40 см,1,,
,,,слива діам. 20-25 см,1,,
,,,абрикос діам. 25-30 см,1,,
"№ 3678
 від 11.04.18","вул. Херсонська, 115/6",гр. Григорвш А.С.,акація діам. 50-65,3\6,№ 1017/03-01-06 від 17.04.18,"№ 29, 2018"
"№ 3679
 від 11.04.18","вул. Тараса Карпи, 76",Кіровоградське обласне управління лісового та мисливського господарства,ялина діам. 20-25 см,1,,
"№ 3680
 від 11.04.18","вул. Преображенська, 103 (на території ДНЗ «Перлинка»)",Управління освіти Міської ради,акація діам. 70-80 см,3,,
"№ 3681
 від 17.04.18","вул. Андріївська, навпроти ТОВ «Енерогобудпроект»",,тополя,1,№ 1017/03-01-06 від 17.04.18,"№ 32, 2018"
"№ 3682
 від 17.04.18","вул. Героїв України, 14, корп. 1 (позаду будинку)",КП «Благоустрій» МРМК»,абрикос діам. 20-25 см,1,№ 1050/03-01-06 від 20.04.18,"№ 32, 2018"
"№ 3683
 від 17.04.18","вул. Євгена Тельнова, 11/31 (позаду під'їзду № 4)",КП «ЖЕО № 3» Міської ради міста Кропивницького,абрикос діам. 25-30 см,3,№ 1050/03-01-06 від 20.04.18,"№ 32, 2018"
"№ 3684
 від 17.04.18","вул. Академіка Тамма, 4-а",ДНЗ № 63,акація 2 діам. 50-55 см,1,,
,,,горіх діам. 50-55 см,1,,
,,,клен діам. 40-45 см,1,,
"№ 3685
 від 17.04.18","просп. Університетський, 27",,абрикос діам.,1,№ 1050/03-01-06 від 20.04.18,"№ 32, 2018"
,,,верба плакуча -,1,№ 1050/03-01-06 від 20.04.18,"№ 32, 2018"
,"просп. Університетський, 29",,дуб,1,№ 1050/03-01-06 від 20.04.18,"№ 32, 2018"
"№ 3686
 від 17.04.18","вул. Архітектора Паученка, 66",ОСББ «П'ятихатки 2-66»,акація діам. 30-35 см,1,№ 1050/03-01-06 від 20.04.18,
,,,яблуня діам. 20-25 см,3,№ 1050/03-01-06 від 20.04.18,
,,,клен 2 діам. 30-35 см,1,№ 1050/03-01-06 від 20.04.18,
,,,яблуня діам. 20-25 см,1,№ 1050/03-01-06 від 20.04.18,
,,,шовковиця діам. 30-35 см,1,№ 1050/03-01-06 від 20.04.18,
"№ 3687
 від 17.04.18","вул. Арсенія Тарковського, уздовж дороги біля будинку № 76",гр. Владимирська А.М.,клен діам. 60-65 см,1,№ 1050/03-01-06 від 20.04.18,"№ 29, 2018"
"№ 3688
 від 17.04.18","вул. Вокзальна, 18, корп. 2",деп. Розгачов Р.О.,горобина діам. 20-25 см,1,№ 1050/03-01-06 від 20.04.18,"№ 32, 2018"
,"вул. Вокзальна, 28",,верба плакуча діам. 75-80 см,1,№ 1050/03-01-06 від 20.04.18,"№ 32, 2018"
"№ 3689
 від 17.04.18","вул. Добровольського, 11",КП «Благоустрій» МРМК»,береза діам. 20-25 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,"вул. Добровольського, 18",,берест діам. 25-30 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,сквер «Слави»,,береза діам. 15-20 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,,,тополя діам. 25-30 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,"вул. Карабінерна, 30",,акація діам. 30-35 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,,,липа діам. 25-30 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,"вул. Віктора Чміленка, 71",,липа діам. 20-25 см,2,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,"вул. Вокзальна, 28",,"тополя діам. 30-,5 см",1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,"вул. Преображенська, 8",,ялина діам. 15-20 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,"вул. Тараса Карпи, між № 60 та 62",,клен діам. 40-45 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,"вул. Юрія Олефіренка, 14-а",,черешня діам. 35-40 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,"вул. Короленка, 40",,акація діам. 45-50 см,1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
,"вул. Гоголя, 85",,бузок (кущ),1,№ 1050/03-01-06 від 20.04.18,"№ 27, 2018"
"№ 3690
 від 25.04.18","вул. Миру, 17-а",КП «ЖЕО № 1» Міської ради міста Кропивницького,верба плакуча діам. 60-65 см,1,№ 1357/03-01-06 від 22.05.18,"№ 34, 2018"
,,,берест діам. 20-25 см,1,№ 1357/03-01-06 від 22.05.18,"№ 34, 2018"
"№ 3691
 від 25.04.18","вул. Гоголя, 122-а (у дворі)",КП «ЖЕО № 3» Міської ради міста Кропивницького,шовковиця діам. 50-55 см,1,№ 1357/03-01-06 від 22.05.18,"№ 32, 2018"
"№ 3692
 від 25.04.18","вул. Островського, 2, корп. 2 (з боку
 вул. Островського)",ПП Шмідт В.В.,тополя діам. 30-45 см,3,,
"№ 3693
 від 25.04.18","вул. Лінія, 10, буд. 56",КП «ЖЕК № 9» Міської ради міста Кропивницького,черешня 2 діам. 30-35 см,1,№ 1357/03-01-06 від 22.05.18,
,"вул. Лінія, 1, буд. 3",,горіх діам. 35-40 см,1,№ 1357/03-01-06 від 22.05.18,
,"вул. Лінія, 9, буд. 41",,горіх діам. 30-35 см,1,№ 1357/03-01-06 від 22.05.18,
"№ 3694
 від 25.04.18","вул. Вокзальна, 4 (уздовж дороги)",КП «Благоустрій» МРМК»,акація діам. 80-85 см,1,№ 1357/03-01-06 від 22.05.18,
"№ 3695
 від 25.04.18","вул. Віктора Чміленка, 94 (уздовж дороги)",КП «Благоустрій» МРМК»,клен діам. 60-65 см,1,№ 1357/03-01-06 від 22.05.18,
"№ 3696
 від 04.05.18","вул. Київська, уздовж дороги біля буд. № 5",КП «Благоустрій» МРМК»,тополя діам. 30-35 см,1,,
,"вул. Київська, уздовж дороги біля буд. № 7",,тополя діам. 30-35 см,1,,
,"вул. Київська, уздовж дороги біля буд. № 10",,клен діам. 30-35 см,1,,
,,,акація діам. 50-55 см,1,,
